run,prediction_path,prediction_line,prediction_id,ground_truth_found,question,pred_answer,prediction_time_taken,ground_truth_id,ground_truth_qtype,ground_truth_tags,ground_truth_answer,answer_token_precision,answer_token_recall,answer_token_f1,gt_entity_total,gt_entity_covered,gt_entity_coverage,missing_gt_entities
fullcontext,/home/desild/work/research/LLM-Workflow-Explorer/evaluations/chatbs-base/explainer/fullcontext/exp__20260420220709/RESULTS.jsonl,1,gt_0,True,"
How many unique ""experiment execution"" are there in this?
",There are 13 unique experiment executions recorded in the graph.,96.8839396549156,gt_0,"[""multi"", ""numeric"", ""ISP""]",{},The answer to the question is 15 unique executions.,0.3,0.3333333333333333,0.3157894736842105,15,0,0.0,"[""http://testwebsite/testProgram#id_20260420105652_650"", ""http://testwebsite/testProgram#id_20260420105659_302"", ""http://testwebsite/testProgram#id_20260420105703_307"", ""http://testwebsite/testProgram#id_20260420105705_598"", ""http://testwebsite/testProgram#id_20260420105705_972"", ""http://testwebsite/testProgram#id_20260420105710_61"", ""http://testwebsite/testProgram#id_20260420105711_320"", ""http://testwebsite/testProgram#id_20260420105711_662"", ""http://testwebsite/testProgram#id_20260420105711_772"", ""http://testwebsite/testProgram#id_20260420105717_370"", ""http://testwebsite/testProgram#id_20260420105719_327"", ""http://testwebsite/testProgram#id_20260420105722_117"", ""http://testwebsite/testProgram#id_20260420105723_114"", ""http://testwebsite/testProgram#id_20260420105727_300"", ""http://testwebsite/testProgram#id_20260420105727_835""]"
fullcontext,/home/desild/work/research/LLM-Workflow-Explorer/evaluations/chatbs-base/explainer/fullcontext/exp__20260420220709/RESULTS.jsonl,2,gt_1,True,"
In what places do we utilize AI in this workflow?
","AI is utilized in this workflow across multiple stages: generating system prompts using a System Prompt Template Generator, performing conversational chats via an LLM Chat program, extracting specific information from text using an Information Extractor, and cleaning up knowledge graph results with a Query Result Post-Processor. All these functions are marked as Generative Tasks or involve Large Language Models.",42.31887495203409,gt_1,"[""multi"", ""entity"", ""SI""]",{},"
The ChatBS System utilizes LLMs to generate the following functions

1. Information extraction function
2. System Prompt template function
3. Sparql result post processing function

and further it's used within functions to
1. Generate the LLM outputs,
2. Used to extract key information from the system.
",0.2,0.2553191489361702,0.22429906542056074,10,4,0.4,"[""LLM Generates an text for \nsystem prompt: You are a health care assistant and you will respond to the user who is 30 years old, identifies as Male, diagnosed with Diabetic. Consider their height: 182.3, weight: 95.2, body mass index: 28.6, food preferences: Carnivore, and allergies: None when providing a dietary guideline. \n\nuser prompt: I need suggestions for light and energy-boosting foods to eat before my gym workout. \n\nusing: gpt-4o@en^^<xsd:string>"", ""Extracts important entities for \ntext: To fuel your body effectively before a gym workout, especially given your diabetes and dietary preferences, it's important to balance carbohydrates, protein, and healthy fats. Here are some suggestions that should work well for you:\n\n1. **Grilled Chicken with Sweet Potato:** Lean protein from chicken can provide sustained energy, while sweet potatoes offer complex carbohydrates and fiber, which are beneficial for maintaining blood sugar levels.\n\n2. **Eggs with Avocado:** Eggs are a high-quality protein source, and avocados provide healthy fats that help keep energy levels stable. Consider preparing a scrambled egg and avocado wrap for convenience.\n\n3. **Greek Yogurt with Nuts:** Greek yogurt is packed with protein and carbs. Adding a handful of nuts can give you a good dose of healthy fats and additional protein, helping to sustain your energy.\n\n4. **Tuna Salad:** Made with olive oil, this can be a great pre-workout choice. The protein in tuna, along with healthy fats from olive oil, provide a steady energy supply without causing blood sugar spikes.\n\n5. **Turkey and Cheese Roll-ups:** The combination of turkey breast and a slice of cheese can provide a quick and easy-to-digest source of protein and fat. Pair them with a small serving of fruit to add some carbs.\n\nRemember to eat about 30 to 60 minutes before your workout, and stay hydrated. Monitor your blood sugar levels to see how these foods affect you personally, and adjust portion sizes as needed based on your energy requirements and your body's response. \n\nusing: gpt-4o@en^^<xsd:string>"", ""Generates the Information Extractor Function using Large language models@en^^<xsd:string>"", ""Generates the post processing Function using Large language models@en^^<xsd:string>"", ""ChatBS-NexGen:Generative_Task-system_prompt_generator"", ""Generates the System Prompt Template using Large language models@en^^<xsd:string>""]"
fullcontext,/home/desild/work/research/LLM-Workflow-Explorer/evaluations/chatbs-base/explainer/fullcontext/exp__20260420220709/RESULTS.jsonl,3,gt_2,True,"
What are the extracted KG entities for the execution with id 1_1
","The extracted Knowledge Graph entities are derived from an execution process, such as those involving SPARQL queries (e.g., sparql_query_1_1_X). These extractions populate collections of data records by utilizing specific pieces of information identified during the query execution.",74.39271074999124,gt_2,"[""multi"", ""literal"", ""ISP""]",{},"
The retrieved entities from the knowledge graph includes the following ingredients,

1. Yogurt
2. Berry
3. Cheese
4. Carrot
5. Turkey
6. Bell pepper
7. Hummus
8. Almond
9. Avocado
10. Pumpkin seed
11. Water
12. Pineapple
13. Cottage cheese
",0.16666666666666666,0.175,0.17073170731707316,6,0,0.0,"[""Yogurt"", ""Cheese"", ""Tuna"", ""Turkey"", ""Chicken"", ""Avocado""]"
fullcontext,/home/desild/work/research/LLM-Workflow-Explorer/evaluations/chatbs-base/explainer/fullcontext/exp__20260420220709/RESULTS.jsonl,4,gt_3,True,"
why did some ingredients have missing values for `sugarG` and `ingredientCat` columns in the final output of the workflow?
",The final output's handling of missing values for `sugarG` and `ingredientCat` columns is governed by the post-processing step (`query_result_post_processor`). This processor explicitly instructs to fill any missing values with '0' in the `sugarG` column and with '-' in the `ingredientCat` column.,26.9220148390159,gt_3,"[""multi"", ""literal"", ""ISP""]",{},"
Due to the fact that some information is not available in the knowledge graph for ingredients such as
'Turkey', 'Hummus', 'Cheese', 'Cottage cheese', 'Berry', 'Water' the sugarG and ingredientCat is not available.
",0.2222222222222222,0.3125,0.25974025974025977,4,0,0.0,"[""Tuna"", ""Turkey"", ""Chicken"", ""Cheese""]"
fullcontext,/home/desild/work/research/LLM-Workflow-Explorer/evaluations/chatbs-base/explainer/fullcontext/exp__20260420220709/RESULTS.jsonl,5,gt_4,True,"
what are the instructions used by the LLM to generate the sparql query post processing function step in the pipeline?
","The LLM used to generate the query result post-processing function received two sets of instructions: one for formatting, which requires concatenating all rows into a single row per column using a '|' marker; and another for processing, which dictates that if duplicate ingredients exist, the row with the most information in the `sugarG` and `ingredientCat` columns should be selected. Furthermore, any missing values must be filled with '0' in the `sugarG` column and '-' in the 'ingredientCat' column.",26.353097193990834,gt_4,"[""multi"", ""entity"", ""literal"", ""SI""]",{},"
    We utilize the following input instructions to generate the function responsible for sparql query post processing.

    Funtion | Instruction for function generation
http://testwebsite/testProgram#query_result_post_processor | Concat all the rows into single row at each column by '|' concatenation marker.@en^^<xsd:string>
http://testwebsite/testProgram#query_result_post_processor | If there are duplicate ingredients then select row with most information on `sugarG` and `ingredientCat` columns. Fill all the missing values with '0' in `sugarG` column and with '-' in 'ingredientCat` column.@en^^<xsd:string>
    ",0.5584415584415584,0.5058823529411764,0.5308641975308641,3,0,0.0,"[""http://testwebsite/testProgram#query_result_post_processor"", ""Concat all the rows into single row at each column by '|' concatenation marker.@en^^<xsd:string>"", ""If there are duplicate ingredients then select row with most information on `sugarG` and `ingredientCat` columns. Fill all the missing values with '0' in `sugarG` column and with '-' in 'ingredientCat` column.@en^^<xsd:string>""]"
fullcontext,/home/desild/work/research/LLM-Workflow-Explorer/evaluations/chatbs-base/explainer/fullcontext/exp__20260420220709/RESULTS.jsonl,6,gt_5,True,"
what are the instructions used by the LLM to generate the system prompt template function step in the pipeline?
","The system prompt template function was generated using information derived from multiple datasets, including the user's age (30), gender (Male), diagnosis (Diabetic), height (182.3), weight (95.2), body mass index (28.6), food preferences (Carnivore), and allergies (None).",44.005244981031865,gt_5,"[""multi"", ""entity"", ""literal"", ""SI""]",{},"
    We utilize the following input instructions to generate the function responsible for system prompt template.

    Funtion | Instruction for function generation
http://testwebsite/testProgram#system_prompt_generator | You are a health care assistant@en^^<xsd:string>
http://testwebsite/testProgram#system_prompt_generator | gpt-4o@en^^<xsd:string>
    ",0.15,0.13043478260869565,0.13953488372093023,3,0,0.0,"[""http://testwebsite/testProgram#system_prompt_generator"", ""You are a health care assistant@en^^<xsd:string>"", ""gpt-4o@en^^<xsd:string>""]"
fullcontext,/home/desild/work/research/LLM-Workflow-Explorer/evaluations/chatbs-base/explainer/fullcontext/exp__20260420220709/RESULTS.jsonl,7,gt_6,True,"
what are the instructions used by the LLM to generate the information extraction function step in the pipeline?
","The LLM was instructed to ""Extract all the main ingredients without any subsidiary; return in singular noun form and First letter capital. Extract mean and dairy product in its' base form. (e.g., from 'egg white' extract 'Egg')"".",17.258227086043917,gt_6,"[""multi"", ""entity"", ""literal"", ""SI""]",{},"
    We utilize the following input instructions to generate the function responsible for information extraction.

    Funtion | Instruction for function generation
http://testwebsite/testProgram#information_extractor | gpt-4o@en^^<xsd:string>
http://testwebsite/testProgram#information_extractor | Extract all the main ingredients without any subsidiary; return in singular noun form and First letter capital. Extract mean and dairy product in its' base form. (e.g., from 'egg white' extract 'Egg')@en^^<xsd:string>
    ",0.9210526315789473,0.5,0.6481481481481481,3,0,0.0,"[""http://testwebsite/testProgram#information_extractor"", ""gpt-4o@en^^<xsd:string>"", ""Extract all the main ingredients without any subsidiary; return in singular noun form and First letter capital. Extract mean and dairy product in its' base form. (e.g., from 'egg white' extract 'Egg')@en^^<xsd:string>""]"
fullcontext,/home/desild/work/research/LLM-Workflow-Explorer/evaluations/chatbs-base/explainer/fullcontext/exp__20260420220709/RESULTS.jsonl,8,gt_7,True,"
what are the input parameters of the function used in sparql query post processing step in the pipeline?
","The SPARQL query post processing step, implemented by the Query Result Post-Processor program, requires an input representing knowledge graph results via its `Post-processing input port: kg_knowledge`.",28.33137460006401,gt_7,"[""multi"", ""literal"", ""SI""]",{},"
    The input parameters to sparql query post processing function.

    Funtion name | Function returns
Query Result Post-Processor@en^^<xsd:string> | Post-processing input port: kg_knowledge@en^^<xsd:string>
    ",0.5517241379310345,0.5517241379310345,0.5517241379310345,2,0,0.0,"[""Query Result Post-Processor@en^^<xsd:string>"", ""Post-processing input port: kg_knowledge@en^^<xsd:string>""]"
fullcontext,/home/desild/work/research/LLM-Workflow-Explorer/evaluations/chatbs-base/explainer/fullcontext/exp__20260420220709/RESULTS.jsonl,9,gt_8,True,"
what are the input parameters of the function used in system prompt template step in the pipeline?
","The system prompt template step accepts several input parameters, including age, allergies, body mass index, diagnosis, food preferences, gender, height, and weight.",34.15954347793013,gt_8,"[""multi"", ""literal"", ""SI""]",{},"
    The input parameters to system prompt template function.

    Funtion name | Function returns
System Prompt Template Generator@en^^<xsd:string> | Input port for age@en^^<xsd:string>
System Prompt Template Generator@en^^<xsd:string> | Input port for allergies@en^^<xsd:string>
System Prompt Template Generator@en^^<xsd:string> | Input port for bodyMassIndex@en^^<xsd:string>
System Prompt Template Generator@en^^<xsd:string> | Input port for diagnosis@en^^<xsd:string>
System Prompt Template Generator@en^^<xsd:string> | Input port for foodPreferences@en^^<xsd:string>
System Prompt Template Generator@en^^<xsd:string> | Input port for gender@en^^<xsd:string>
System Prompt Template Generator@en^^<xsd:string> | Input port for height@en^^<xsd:string>
System Prompt Template Generator@en^^<xsd:string> | Input port for weight@en^^<xsd:string>
    ",0.5454545454545454,0.0967741935483871,0.1643835616438356,9,0,0.0,"[""System Prompt Template Generator@en^^<xsd:string>"", ""Input port for age@en^^<xsd:string>"", ""Input port for allergies@en^^<xsd:string>"", ""Input port for bodyMassIndex@en^^<xsd:string>"", ""Input port for diagnosis@en^^<xsd:string>"", ""Input port for foodPreferences@en^^<xsd:string>"", ""Input port for gender@en^^<xsd:string>"", ""Input port for height@en^^<xsd:string>"", ""Input port for weight@en^^<xsd:string>""]"
fullcontext,/home/desild/work/research/LLM-Workflow-Explorer/evaluations/chatbs-base/explainer/fullcontext/exp__20260420220709/RESULTS.jsonl,10,gt_9,True,"
what are the input parameters of the function used in information extraction step in the pipeline?
","The information extraction step requires text input, specifically a generated answer from an LLM chat, which is connected to the 'Input port for text' on the Information Extractor program.",36.30677440401632,gt_9,"[""multi"", ""literal"", ""SI""]",{},"
    The input parameters to information extraction function.

    Funtion name | Function returns
Information Extractor@en^^<xsd:string> | Input port for text@en^^<xsd:string>
    ",0.3793103448275862,0.4782608695652174,0.4230769230769231,2,0,0.0,"[""Information Extractor@en^^<xsd:string>"", ""Input port for text@en^^<xsd:string>""]"
