program_id,name,solves,description,input_spec,output_spec,code,example_usage,example_output,tags,metadata,category,statement,start_node,end_node,focal_relation,focal_node
explore_object_of_class,What are all the objects of a given class?,What are all the objects of a given class?,Returns all the objects of a given class,{'class_uri': 'The URI of the class to explore.'},{'objects': 'A list of objects belonging to the specified class.'},"SELECT DISTINCT ?value WHERE {
                            ?value a <{class_uri}> .
                            }","SELECT DISTINCT ?value WHERE {
                            ?value a <http://purl.dataone.org/provone/2015/01/15/ontology#Execution> .
                            }","{'value': ['http://testwebsite/testProgram#id_20260420105652_650', 'http://testwebsite/testProgram#id_20260420105659_302', 'http://testwebsite/testProgram#id_20260420105703_307', 'http://testwebsite/testProgram#id_20260420105705_598', 'http://testwebsite/testProgram#id_20260420105705_972', 'http://testwebsite/testProgram#id_20260420105710_61', 'http://testwebsite/testProgram#id_20260420105711_320', 'http://testwebsite/testProgram#id_20260420105711_662', 'http://testwebsite/testProgram#id_20260420105711_772', 'http://testwebsite/testProgram#id_20260420105717_370']}",['class-level'],{},object-level|from-object,Returns all the objects of a given class,,,,
explore_attr_of_object,Explore Attributes of Object,What are all the attributes and values of a given object?,Returns all the attributes and values of a given object,{'obj_uri': 'The URI of the object to explore.'},{'attributes': 'A list of attributes belonging to the specified object.'},"
PREFIX rdfs: <http://www.w3.org/2000/01/rdf-schema#> 
PREFIX prov: <http://www.w3.org/ns/prov#> 
PREFIX rdf: <http://www.w3.org/1999/02/22-rdf-syntax-ns#> 

SELECT DISTINCT 
    ?p 
    ?o 
    (COALESCE(?olbl, ""-"") AS ?o_label) 
    (COALESCE(?raw_o_class, ""-"") AS ?o_class) 
    ?c_p 
    ?c_o 
    (COALESCE(?c_o_lbl, ""-"") AS ?c_o_label) 
    (COALESCE(?raw_c_o_class, ""-"") AS ?c_o_class)

WHERE { 
    <{obj_uri}> ?p ?o . 
    
    OPTIONAL { ?o rdfs:label ?olbl . } 
    OPTIONAL { ?o rdf:type ?raw_o_class . } 
    
    OPTIONAL { 
        <{obj_uri}> rdf:type prov:Collection . 
        BIND(TRUE AS ?isCollection) 
        } 

    OPTIONAL { 
        FILTER(bound(?isCollection)) 
        
        <{obj_uri}> prov:hadMember ?member . 
        ?member ?c_p ?c_o . 
        
        OPTIONAL { ?c_o rdfs:label ?c_o_lbl . } 
        
        OPTIONAL { ?c_o rdf:type ?raw_c_o_class . } } 
        }","
        PREFIX rdfs: <http://www.w3.org/2000/01/rdf-schema#>
        PREFIX prov: <http://www.w3.org/ns/prov#>
        PREFIX rdf:  <http://www.w3.org/1999/02/22-rdf-syntax-ns#>

        SELECT DISTINCT 
            ?p 
            ?o 
            (COALESCE(?olbl, """"-"""") AS ?o_label)
            (COALESCE(?raw_o_class, """"-"""") AS ?o_class)
            ?c_p 
            ?c_o 
            (COALESCE(?c_o_lbl, """"-"""") AS ?c_o_label)
            (COALESCE(?raw_c_o_class, """"-"""") AS ?c_o_class)
        WHERE {
            <http://testwebsite/testProgram#Generative_Task-system_prompt_generator> ?p ?o .

            OPTIONAL { ?o rdfs:label ?olbl . }

            OPTIONAL { ?o rdf:type ?raw_o_class . }

            OPTIONAL {
                <http://testwebsite/testProgram#Generative_Task-system_prompt_generator> rdf:type prov:Collection .
                BIND(TRUE AS ?isCollection)
            }

            OPTIONAL {
                FILTER(bound(?isCollection))

                <http://testwebsite/testProgram#Generative_Task-system_prompt_generator> prov:hadMember ?member .
                ?member ?c_p ?c_o .

                OPTIONAL { ?c_o rdfs:label ?c_o_lbl . }

                OPTIONAL { ?c_o rdf:type ?raw_c_o_class . }
            }
        }","{'p': ['http://purl.org/dc/elements/1.1/description', 'http://www.w3.org/1999/02/22-rdf-syntax-ns#type', 'http://www.w3.org/2000/01/rdf-schema#label', 'http://www.w3.org/ns/prov#atTime', 'http://www.w3.org/ns/prov#used'], 'o': ['Generates the System Prompt Template using Large language models@en^^<xsd:string>', 'http://www.semanticweb.org/acer/ontologies/2026/1/WorkFlow/Generative_Task', 'System Prompt Template function generator@en^^<xsd:string>', '2026-03-05 19:21:32@en^^<xsd:string>', 'http://testwebsite/testProgram#LLM-system_prompt_generator'], 'o_label': [nan, nan, nan, nan, 'System Prompt Template function generator@en^^<xsd:string>'], 'o_class': [nan, nan, nan, nan, 'http://www.semanticweb.org/acer/ontologies/2026/1/WorkFlow/Large_Language_Models']}",['class-level'],{},object-level|from-object,Returns all the attributes and values of a given object,,,,
explore_object_of_class workflow:Large_Language_Model_Output | find by prop value | relation:dc:description,Explore Objects of Class,What are all the objects of class workflow:Large_Language_Model_Output with a given value for the relation/prop dc:description?,Return all the objects of class workflow:Large_Language_Model_Output of a given value for the relation/prop dc:description,{'prop_uri': 'The URI of the prop of interest.'},{'relation_uri': 'Relation of interest.'},"PREFIX provone: <http://purl.dataone.org/provone/2015/01/15/ontology#> 
PREFIX skos: <http://www.w3.org/2004/02/skos/core#> 
PREFIX prov: <http://www.w3.org/ns/prov#> 
PREFIX rdfs: <http://www.w3.org/2000/01/rdf-schema#> 
PREFIX rdf: <http://www.w3.org/1999/02/22-rdf-syntax-ns#> 
PREFIX cwfo: <http://cwf.tw.rpi.edu/vocab#> 
PREFIX dcterms: <http://purl.org/dc/terms#> 
PREFIX ChatBS-NexGen: <http://testwebsite/testProgram#> 
PREFIX user: <http://testwebsite/testUser#> 
PREFIX eo: <https://purl.org/heals/eo#> 
PREFIX ep: <http://linkedu.eu/dedalo/explanationPattern.owl#> 
PREFIX sio: <http://semanticscience.org/resource/> 
PREFIX dc: <http://purl.org/dc/elements/1.1/> 
PREFIX DFColumn: <http://testwebsite/testDFColumn#> 
PREFIX fnom: <https://w3id.org/function/vocabulary/mapping#> 
PREFIX fnoi: <https://w3id.org/function/vocabulary/implementation#> 
PREFIX fnoc: <https://w3id.org/function/vocabulary/composition/0.1.0/> 
PREFIX food: <http://purl.org/heals/food/> 
PREFIX dbo: <http://dbpedia.org/ontology/> 
PREFIX dbp: <http://dbpedia.org/property/> 
PREFIX dbt: <http://dbpedia.org/resource/Template:> 
PREFIX ques: <http://atomic_questions.org/> 
PREFIX xsd: <http://www.w3.org/2001/XMLSchema#> 
PREFIX fno: <https://w3id.org/function/vocabulary/core#> 
PREFIX workflow: <http://www.semanticweb.org/acer/ontologies/2026/1/WorkFlow/> 

 SELECT DISTINCT ?value WHERE {
    ?value <http://purl.org/dc/elements/1.1/description> ?prop .
    FILTER(CONTAINS(STR(?prop), ""{prop_value}""))
} 
        
 
        ","SELECT DISTINCT ?value WHERE {
    ?value <http://purl.org/dc/elements/1.1/description> ?prop .
    FILTER(CONTAINS(STR(?prop), ""LLM Generates an text for ""))
}","{'value': ['http://testwebsite/testProgram#Generative_Task-id_20260420105659_302', 'http://testwebsite/testProgram#LLM-id_20260420105659_302']}","['object-level', 'from-prop', 'workflow:Large_Language_Model_Output']",{'relation': 'dc:description'},object-level|from-prop,Return all the objects of class workflow:Large_Language_Model_Output of a given value for the relation/prop dc:description,,,dc:description,workflow:Large_Language_Model_Output
explore_object_of_class workflow:Large_Language_Model_Output | find by prop value | relation:workflow:llm_model,Explore Objects of Class,What are all the objects of class workflow:Large_Language_Model_Output with a given value for the relation/prop workflow:llm_model?,Return all the objects of class workflow:Large_Language_Model_Output of a given value for the relation/prop workflow:llm_model,{'prop_uri': 'The URI of the prop of interest.'},{'relation_uri': 'Relation of interest.'},"PREFIX provone: <http://purl.dataone.org/provone/2015/01/15/ontology#> 
PREFIX skos: <http://www.w3.org/2004/02/skos/core#> 
PREFIX prov: <http://www.w3.org/ns/prov#> 
PREFIX rdfs: <http://www.w3.org/2000/01/rdf-schema#> 
PREFIX rdf: <http://www.w3.org/1999/02/22-rdf-syntax-ns#> 
PREFIX cwfo: <http://cwf.tw.rpi.edu/vocab#> 
PREFIX dcterms: <http://purl.org/dc/terms#> 
PREFIX ChatBS-NexGen: <http://testwebsite/testProgram#> 
PREFIX user: <http://testwebsite/testUser#> 
PREFIX eo: <https://purl.org/heals/eo#> 
PREFIX ep: <http://linkedu.eu/dedalo/explanationPattern.owl#> 
PREFIX sio: <http://semanticscience.org/resource/> 
PREFIX dc: <http://purl.org/dc/elements/1.1/> 
PREFIX DFColumn: <http://testwebsite/testDFColumn#> 
PREFIX fnom: <https://w3id.org/function/vocabulary/mapping#> 
PREFIX fnoi: <https://w3id.org/function/vocabulary/implementation#> 
PREFIX fnoc: <https://w3id.org/function/vocabulary/composition/0.1.0/> 
PREFIX food: <http://purl.org/heals/food/> 
PREFIX dbo: <http://dbpedia.org/ontology/> 
PREFIX dbp: <http://dbpedia.org/property/> 
PREFIX dbt: <http://dbpedia.org/resource/Template:> 
PREFIX ques: <http://atomic_questions.org/> 
PREFIX xsd: <http://www.w3.org/2001/XMLSchema#> 
PREFIX fno: <https://w3id.org/function/vocabulary/core#> 
PREFIX workflow: <http://www.semanticweb.org/acer/ontologies/2026/1/WorkFlow/> 

 SELECT DISTINCT ?value WHERE {
    ?value <http://www.semanticweb.org/acer/ontologies/2026/1/WorkFlow/llm_model> ?prop .
    FILTER(CONTAINS(STR(?prop), ""{prop_value}""))
} 
        
 
        ","SELECT DISTINCT ?value WHERE {
    ?value <http://www.semanticweb.org/acer/ontologies/2026/1/WorkFlow/llm_model> ?prop .
    FILTER(CONTAINS(STR(?prop), ""gpt-4o""))
}","{'value': ['http://testwebsite/testProgram#LLM-id_20260420105659_302', 'http://testwebsite/testProgram#LLM-id_20260420105703_307', 'http://testwebsite/testProgram#LLM-information_extractor', 'http://testwebsite/testProgram#LLM-query_result_post_processor', 'http://testwebsite/testProgram#LLM-system_prompt_generator']}","['object-level', 'from-prop', 'workflow:Large_Language_Model_Output']",{'relation': 'workflow:llm_model'},object-level|from-prop,Return all the objects of class workflow:Large_Language_Model_Output of a given value for the relation/prop workflow:llm_model,,,workflow:llm_model,workflow:Large_Language_Model_Output
explore_object_of_class workflow:Large_Language_Model_Output | find by prop value | relation:rdfs:label,Explore Objects of Class,What are all the objects of class workflow:Large_Language_Model_Output with a given value for the relation/prop rdfs:label?,Return all the objects of class workflow:Large_Language_Model_Output of a given value for the relation/prop rdfs:label,{'prop_uri': 'The URI of the prop of interest.'},{'relation_uri': 'Relation of interest.'},"PREFIX provone: <http://purl.dataone.org/provone/2015/01/15/ontology#> 
PREFIX skos: <http://www.w3.org/2004/02/skos/core#> 
PREFIX prov: <http://www.w3.org/ns/prov#> 
PREFIX rdfs: <http://www.w3.org/2000/01/rdf-schema#> 
PREFIX rdf: <http://www.w3.org/1999/02/22-rdf-syntax-ns#> 
PREFIX cwfo: <http://cwf.tw.rpi.edu/vocab#> 
PREFIX dcterms: <http://purl.org/dc/terms#> 
PREFIX ChatBS-NexGen: <http://testwebsite/testProgram#> 
PREFIX user: <http://testwebsite/testUser#> 
PREFIX eo: <https://purl.org/heals/eo#> 
PREFIX ep: <http://linkedu.eu/dedalo/explanationPattern.owl#> 
PREFIX sio: <http://semanticscience.org/resource/> 
PREFIX dc: <http://purl.org/dc/elements/1.1/> 
PREFIX DFColumn: <http://testwebsite/testDFColumn#> 
PREFIX fnom: <https://w3id.org/function/vocabulary/mapping#> 
PREFIX fnoi: <https://w3id.org/function/vocabulary/implementation#> 
PREFIX fnoc: <https://w3id.org/function/vocabulary/composition/0.1.0/> 
PREFIX food: <http://purl.org/heals/food/> 
PREFIX dbo: <http://dbpedia.org/ontology/> 
PREFIX dbp: <http://dbpedia.org/property/> 
PREFIX dbt: <http://dbpedia.org/resource/Template:> 
PREFIX ques: <http://atomic_questions.org/> 
PREFIX xsd: <http://www.w3.org/2001/XMLSchema#> 
PREFIX fno: <https://w3id.org/function/vocabulary/core#> 
PREFIX workflow: <http://www.semanticweb.org/acer/ontologies/2026/1/WorkFlow/> 

 SELECT DISTINCT ?value WHERE {
    ?value <http://www.w3.org/2000/01/rdf-schema#label> ?prop .
    FILTER(CONTAINS(STR(?prop), ""{prop_value}""))
} 
        
 
        ","SELECT DISTINCT ?value WHERE {
    ?value <http://www.w3.org/2000/01/rdf-schema#label> ?prop .
    FILTER(CONTAINS(STR(?prop), ""LLM Generates an text for ""))
}","{'value': ['http://testwebsite/testProgram#Generative_Task-id_20260420105659_302', 'http://testwebsite/testProgram#LLM-id_20260420105659_302']}","['object-level', 'from-prop', 'workflow:Large_Language_Model_Output']",{'relation': 'rdfs:label'},object-level|from-prop,Return all the objects of class workflow:Large_Language_Model_Output of a given value for the relation/prop rdfs:label,,,rdfs:label,workflow:Large_Language_Model_Output
explore_object_of_class provone:Data | find by prop value | relation:DFColumn:ingredientCat,Explore Objects of Class,What are all the objects of class provone:Data with a given value for the relation/prop DFColumn:ingredientCat?,Return all the objects of class provone:Data of a given value for the relation/prop DFColumn:ingredientCat,{'prop_uri': 'The URI of the prop of interest.'},{'relation_uri': 'Relation of interest.'},"PREFIX provone: <http://purl.dataone.org/provone/2015/01/15/ontology#> 
PREFIX skos: <http://www.w3.org/2004/02/skos/core#> 
PREFIX prov: <http://www.w3.org/ns/prov#> 
PREFIX rdfs: <http://www.w3.org/2000/01/rdf-schema#> 
PREFIX rdf: <http://www.w3.org/1999/02/22-rdf-syntax-ns#> 
PREFIX cwfo: <http://cwf.tw.rpi.edu/vocab#> 
PREFIX dcterms: <http://purl.org/dc/terms#> 
PREFIX ChatBS-NexGen: <http://testwebsite/testProgram#> 
PREFIX user: <http://testwebsite/testUser#> 
PREFIX eo: <https://purl.org/heals/eo#> 
PREFIX ep: <http://linkedu.eu/dedalo/explanationPattern.owl#> 
PREFIX sio: <http://semanticscience.org/resource/> 
PREFIX dc: <http://purl.org/dc/elements/1.1/> 
PREFIX DFColumn: <http://testwebsite/testDFColumn#> 
PREFIX fnom: <https://w3id.org/function/vocabulary/mapping#> 
PREFIX fnoi: <https://w3id.org/function/vocabulary/implementation#> 
PREFIX fnoc: <https://w3id.org/function/vocabulary/composition/0.1.0/> 
PREFIX food: <http://purl.org/heals/food/> 
PREFIX dbo: <http://dbpedia.org/ontology/> 
PREFIX dbp: <http://dbpedia.org/property/> 
PREFIX dbt: <http://dbpedia.org/resource/Template:> 
PREFIX ques: <http://atomic_questions.org/> 
PREFIX xsd: <http://www.w3.org/2001/XMLSchema#> 
PREFIX fno: <https://w3id.org/function/vocabulary/core#> 
PREFIX workflow: <http://www.semanticweb.org/acer/ontologies/2026/1/WorkFlow/> 

 SELECT DISTINCT ?value WHERE {
    ?value <http://testwebsite/testDFColumn#ingredientCat> ?prop .
    FILTER(CONTAINS(STR(?prop), ""{prop_value}""))
} 
        
 
        ","SELECT DISTINCT ?value WHERE {
    ?value <http://testwebsite/testDFColumn#ingredientCat> ?prop .
    FILTER(CONTAINS(STR(?prop), ""NA""))
}","{'value': ['http://testwebsite/testProgram#Data-id_20260420105705_232-kg_info', 'http://testwebsite/testProgram#Data-id_20260420105710_564-kg_info', 'http://testwebsite/testProgram#Data-id_20260420105711_547-kg_info', 'http://testwebsite/testProgram#Data-id_20260420105719_416-kg_info', 'http://testwebsite/testProgram#Data-id_20260420105727_306-kg_info']}","['object-level', 'from-prop', 'provone:Data']",{'relation': 'DFColumn:ingredientCat'},object-level|from-prop,Return all the objects of class provone:Data of a given value for the relation/prop DFColumn:ingredientCat,,,DFColumn:ingredientCat,provone:Data
explore_object_of_class provone:Data | find by prop value | relation:DFColumn:ingredientName,Explore Objects of Class,What are all the objects of class provone:Data with a given value for the relation/prop DFColumn:ingredientName?,Return all the objects of class provone:Data of a given value for the relation/prop DFColumn:ingredientName,{'prop_uri': 'The URI of the prop of interest.'},{'relation_uri': 'Relation of interest.'},"PREFIX provone: <http://purl.dataone.org/provone/2015/01/15/ontology#> 
PREFIX skos: <http://www.w3.org/2004/02/skos/core#> 
PREFIX prov: <http://www.w3.org/ns/prov#> 
PREFIX rdfs: <http://www.w3.org/2000/01/rdf-schema#> 
PREFIX rdf: <http://www.w3.org/1999/02/22-rdf-syntax-ns#> 
PREFIX cwfo: <http://cwf.tw.rpi.edu/vocab#> 
PREFIX dcterms: <http://purl.org/dc/terms#> 
PREFIX ChatBS-NexGen: <http://testwebsite/testProgram#> 
PREFIX user: <http://testwebsite/testUser#> 
PREFIX eo: <https://purl.org/heals/eo#> 
PREFIX ep: <http://linkedu.eu/dedalo/explanationPattern.owl#> 
PREFIX sio: <http://semanticscience.org/resource/> 
PREFIX dc: <http://purl.org/dc/elements/1.1/> 
PREFIX DFColumn: <http://testwebsite/testDFColumn#> 
PREFIX fnom: <https://w3id.org/function/vocabulary/mapping#> 
PREFIX fnoi: <https://w3id.org/function/vocabulary/implementation#> 
PREFIX fnoc: <https://w3id.org/function/vocabulary/composition/0.1.0/> 
PREFIX food: <http://purl.org/heals/food/> 
PREFIX dbo: <http://dbpedia.org/ontology/> 
PREFIX dbp: <http://dbpedia.org/property/> 
PREFIX dbt: <http://dbpedia.org/resource/Template:> 
PREFIX ques: <http://atomic_questions.org/> 
PREFIX xsd: <http://www.w3.org/2001/XMLSchema#> 
PREFIX fno: <https://w3id.org/function/vocabulary/core#> 
PREFIX workflow: <http://www.semanticweb.org/acer/ontologies/2026/1/WorkFlow/> 

 SELECT DISTINCT ?value WHERE {
    ?value <http://testwebsite/testDFColumn#ingredientName> ?prop .
    FILTER(CONTAINS(STR(?prop), ""{prop_value}""))
} 
        
 
        ","SELECT DISTINCT ?value WHERE {
    ?value <http://testwebsite/testDFColumn#ingredientName> ?prop .
    FILTER(CONTAINS(STR(?prop), ""NA""))
}","{'value': ['http://testwebsite/testProgram#Data-id_20260420105705_232-kg_info', 'http://testwebsite/testProgram#Data-id_20260420105710_564-kg_info', 'http://testwebsite/testProgram#Data-id_20260420105711_547-kg_info', 'http://testwebsite/testProgram#Data-id_20260420105719_416-kg_info', 'http://testwebsite/testProgram#Data-id_20260420105727_306-kg_info']}","['object-level', 'from-prop', 'provone:Data']",{'relation': 'DFColumn:ingredientName'},object-level|from-prop,Return all the objects of class provone:Data of a given value for the relation/prop DFColumn:ingredientName,,,DFColumn:ingredientName,provone:Data
explore_object_of_class provone:Data | find by prop value | relation:DFColumn:sugarG,Explore Objects of Class,What are all the objects of class provone:Data with a given value for the relation/prop DFColumn:sugarG?,Return all the objects of class provone:Data of a given value for the relation/prop DFColumn:sugarG,{'prop_uri': 'The URI of the prop of interest.'},{'relation_uri': 'Relation of interest.'},"PREFIX provone: <http://purl.dataone.org/provone/2015/01/15/ontology#> 
PREFIX skos: <http://www.w3.org/2004/02/skos/core#> 
PREFIX prov: <http://www.w3.org/ns/prov#> 
PREFIX rdfs: <http://www.w3.org/2000/01/rdf-schema#> 
PREFIX rdf: <http://www.w3.org/1999/02/22-rdf-syntax-ns#> 
PREFIX cwfo: <http://cwf.tw.rpi.edu/vocab#> 
PREFIX dcterms: <http://purl.org/dc/terms#> 
PREFIX ChatBS-NexGen: <http://testwebsite/testProgram#> 
PREFIX user: <http://testwebsite/testUser#> 
PREFIX eo: <https://purl.org/heals/eo#> 
PREFIX ep: <http://linkedu.eu/dedalo/explanationPattern.owl#> 
PREFIX sio: <http://semanticscience.org/resource/> 
PREFIX dc: <http://purl.org/dc/elements/1.1/> 
PREFIX DFColumn: <http://testwebsite/testDFColumn#> 
PREFIX fnom: <https://w3id.org/function/vocabulary/mapping#> 
PREFIX fnoi: <https://w3id.org/function/vocabulary/implementation#> 
PREFIX fnoc: <https://w3id.org/function/vocabulary/composition/0.1.0/> 
PREFIX food: <http://purl.org/heals/food/> 
PREFIX dbo: <http://dbpedia.org/ontology/> 
PREFIX dbp: <http://dbpedia.org/property/> 
PREFIX dbt: <http://dbpedia.org/resource/Template:> 
PREFIX ques: <http://atomic_questions.org/> 
PREFIX xsd: <http://www.w3.org/2001/XMLSchema#> 
PREFIX fno: <https://w3id.org/function/vocabulary/core#> 
PREFIX workflow: <http://www.semanticweb.org/acer/ontologies/2026/1/WorkFlow/> 

 SELECT DISTINCT ?value WHERE {
    ?value <http://testwebsite/testDFColumn#sugarG> ?prop .
    FILTER(CONTAINS(STR(?prop), ""{prop_value}""))
} 
        
 
        ","SELECT DISTINCT ?value WHERE {
    ?value <http://testwebsite/testDFColumn#sugarG> ?prop .
    FILTER(CONTAINS(STR(?prop), ""NA""))
}","{'value': ['http://testwebsite/testProgram#Data-id_20260420105705_232-kg_info', 'http://testwebsite/testProgram#Data-id_20260420105705_668-kg_info', 'http://testwebsite/testProgram#Data-id_20260420105710_564-kg_info', 'http://testwebsite/testProgram#Data-id_20260420105711_547-kg_info', 'http://testwebsite/testProgram#Data-id_20260420105717_899-kg_info', 'http://testwebsite/testProgram#Data-id_20260420105719_416-kg_info', 'http://testwebsite/testProgram#Data-id_20260420105722_181-kg_info', 'http://testwebsite/testProgram#Data-id_20260420105723_261-kg_info', 'http://testwebsite/testProgram#Data-id_20260420105727_306-kg_info']}","['object-level', 'from-prop', 'provone:Data']",{'relation': 'DFColumn:sugarG'},object-level|from-prop,Return all the objects of class provone:Data of a given value for the relation/prop DFColumn:sugarG,,,DFColumn:sugarG,provone:Data
explore_object_of_class provone:Data | find by prop value | relation:rdfs:label,Explore Objects of Class,What are all the objects of class provone:Data with a given value for the relation/prop rdfs:label?,Return all the objects of class provone:Data of a given value for the relation/prop rdfs:label,{'prop_uri': 'The URI of the prop of interest.'},{'relation_uri': 'Relation of interest.'},"PREFIX provone: <http://purl.dataone.org/provone/2015/01/15/ontology#> 
PREFIX skos: <http://www.w3.org/2004/02/skos/core#> 
PREFIX prov: <http://www.w3.org/ns/prov#> 
PREFIX rdfs: <http://www.w3.org/2000/01/rdf-schema#> 
PREFIX rdf: <http://www.w3.org/1999/02/22-rdf-syntax-ns#> 
PREFIX cwfo: <http://cwf.tw.rpi.edu/vocab#> 
PREFIX dcterms: <http://purl.org/dc/terms#> 
PREFIX ChatBS-NexGen: <http://testwebsite/testProgram#> 
PREFIX user: <http://testwebsite/testUser#> 
PREFIX eo: <https://purl.org/heals/eo#> 
PREFIX ep: <http://linkedu.eu/dedalo/explanationPattern.owl#> 
PREFIX sio: <http://semanticscience.org/resource/> 
PREFIX dc: <http://purl.org/dc/elements/1.1/> 
PREFIX DFColumn: <http://testwebsite/testDFColumn#> 
PREFIX fnom: <https://w3id.org/function/vocabulary/mapping#> 
PREFIX fnoi: <https://w3id.org/function/vocabulary/implementation#> 
PREFIX fnoc: <https://w3id.org/function/vocabulary/composition/0.1.0/> 
PREFIX food: <http://purl.org/heals/food/> 
PREFIX dbo: <http://dbpedia.org/ontology/> 
PREFIX dbp: <http://dbpedia.org/property/> 
PREFIX dbt: <http://dbpedia.org/resource/Template:> 
PREFIX ques: <http://atomic_questions.org/> 
PREFIX xsd: <http://www.w3.org/2001/XMLSchema#> 
PREFIX fno: <https://w3id.org/function/vocabulary/core#> 
PREFIX workflow: <http://www.semanticweb.org/acer/ontologies/2026/1/WorkFlow/> 

 SELECT DISTINCT ?value WHERE {
    ?value <http://www.w3.org/2000/01/rdf-schema#label> ?prop .
    FILTER(CONTAINS(STR(?prop), ""{prop_value}""))
} 
        
 
        ","SELECT DISTINCT ?value WHERE {
    ?value <http://www.w3.org/2000/01/rdf-schema#label> ?prop .
    FILTER(CONTAINS(STR(?prop), ""foodPreferences""))
}","{'value': ['http://testwebsite/testProgram#Data-id_20260420105652_112-foodPreferences', 'http://testwebsite/testProgram#system_prompt_generator-foodPreferences']}","['object-level', 'from-prop', 'provone:Data']",{'relation': 'rdfs:label'},object-level|from-prop,Return all the objects of class provone:Data of a given value for the relation/prop rdfs:label,,,rdfs:label,provone:Data
explore_object_of_class provone:Data | find by prop value | relation:prov:value,Explore Objects of Class,What are all the objects of class provone:Data with a given value for the relation/prop prov:value?,Return all the objects of class provone:Data of a given value for the relation/prop prov:value,{'prop_uri': 'The URI of the prop of interest.'},{'relation_uri': 'Relation of interest.'},"PREFIX provone: <http://purl.dataone.org/provone/2015/01/15/ontology#> 
PREFIX skos: <http://www.w3.org/2004/02/skos/core#> 
PREFIX prov: <http://www.w3.org/ns/prov#> 
PREFIX rdfs: <http://www.w3.org/2000/01/rdf-schema#> 
PREFIX rdf: <http://www.w3.org/1999/02/22-rdf-syntax-ns#> 
PREFIX cwfo: <http://cwf.tw.rpi.edu/vocab#> 
PREFIX dcterms: <http://purl.org/dc/terms#> 
PREFIX ChatBS-NexGen: <http://testwebsite/testProgram#> 
PREFIX user: <http://testwebsite/testUser#> 
PREFIX eo: <https://purl.org/heals/eo#> 
PREFIX ep: <http://linkedu.eu/dedalo/explanationPattern.owl#> 
PREFIX sio: <http://semanticscience.org/resource/> 
PREFIX dc: <http://purl.org/dc/elements/1.1/> 
PREFIX DFColumn: <http://testwebsite/testDFColumn#> 
PREFIX fnom: <https://w3id.org/function/vocabulary/mapping#> 
PREFIX fnoi: <https://w3id.org/function/vocabulary/implementation#> 
PREFIX fnoc: <https://w3id.org/function/vocabulary/composition/0.1.0/> 
PREFIX food: <http://purl.org/heals/food/> 
PREFIX dbo: <http://dbpedia.org/ontology/> 
PREFIX dbp: <http://dbpedia.org/property/> 
PREFIX dbt: <http://dbpedia.org/resource/Template:> 
PREFIX ques: <http://atomic_questions.org/> 
PREFIX xsd: <http://www.w3.org/2001/XMLSchema#> 
PREFIX fno: <https://w3id.org/function/vocabulary/core#> 
PREFIX workflow: <http://www.semanticweb.org/acer/ontologies/2026/1/WorkFlow/> 

 SELECT DISTINCT ?value WHERE {
    ?value <http://www.w3.org/ns/prov#value> ?prop .
    FILTER(CONTAINS(STR(?prop), ""{prop_value}""))
} 
        
 
        ","SELECT DISTINCT ?value WHERE {
    ?value <http://www.w3.org/ns/prov#value> ?prop .
    FILTER(CONTAINS(STR(?prop), ""Carnivore""))
}","{'value': ['http://testwebsite/testProgram#Data-id_20260420105652_112-foodPreferences', 'http://testwebsite/testProgram#Data-id_20260420105652_456-system_prompt']}","['object-level', 'from-prop', 'provone:Data']",{'relation': 'prov:value'},object-level|from-prop,Return all the objects of class provone:Data of a given value for the relation/prop prov:value,,,prov:value,provone:Data
